2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:88| diffDateTime including (nonWorkingDay): 00 17:54
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:140| Each EditedSSReport:SSReport [reportName=SIL006L_JINSSS_1503_20190715_134150.pdf, reportDate=15072019, reportTime=01:41, sssId=mes00004, sssStart=2019-12-23 15:56:13.02, sssComplete=2019-12-24 09:50:32.834, duration=00 17:54, category=Other error (Diff SP/MPN), remarks=null, nonWorkingDays=0]
2020-01-13 09:33:58 DEBUG logger:ExportExcelReportServiceImpl.java:45| start and end : 2019-12-23 15:41:19.252 2019-12-24 09:51:04.975
2020-01-13 09:33:59 DEBUG logger:SSReportDaoImpl.java:174| List of Non Working Days: [20191221, 20191222, 20191225, 20191228, 20191229, 20200101, 20200104, 20200105, 20200111, 20200112]
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:88| diffDateTime including (nonWorkingDay): 00 18:09
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:140| Each EditedSSReport:SSReport [reportName=SIL006L_JINSSS_1503_20191212_073345.pdf, reportDate=12122019, reportTime=07:33, sssId=mes00005, sssStart=2019-12-23 15:41:19.252, sssComplete=2019-12-24 09:51:04.975, duration=00 18:09, category=Other error (Diff SP/MPN), remarks=null, nonWorkingDays=0]
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:45| start and end : 2019-12-24 09:52:05.632 2019-12-31 10:24:18.224
2020-01-13 09:33:59 DEBUG logger:SSReportDaoImpl.java:174| List of Non Working Days: [20191221, 20191222, 20191225, 20191228, 20191229, 20200101, 20200104, 20200105, 20200111, 20200112]
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:88| diffDateTime including (nonWorkingDay): 04 00:32
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:140| Each EditedSSReport:SSReport [reportName=SIL006L_JINSSS_1503_20190715_134150.pdf, reportDate=15072019, reportTime=01:41, sssId=mes00003, sssStart=2019-12-24 09:52:05.632, sssComplete=2019-12-31 10:24:18.224, duration=04 00:32, category=Other error (Diff SP/MPN), remarks=null, nonWorkingDays=3]
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:45| start and end : 2019-12-23 15:26:36.42 2019-12-31 10:24:46.099
2020-01-13 09:33:59 DEBUG logger:SSReportDaoImpl.java:174| List of Non Working Days: [20191221, 20191222, 20191225, 20191228, 20191229, 20200101, 20200104, 20200105, 20200111, 20200112]
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:88| diffDateTime including (nonWorkingDay): 04 18:58
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:140| Each EditedSSReport:SSReport [reportName=SIL006L_JINSSS_1503_20190202_153819.pdf, reportDate=02022019, reportTime=03:38, sssId=mes00004, sssStart=2019-12-23 15:26:36.42, sssComplete=2019-12-31 10:24:46.099, duration=04 18:58, category=New CCF With Quotation, remarks=null, nonWorkingDays=3]
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:45| start and end : 2019-12-23 15:40:40.516 2019-12-31 10:24:52.021
2020-01-13 09:33:59 DEBUG logger:SSReportDaoImpl.java:174| List of Non Working Days: [20191221, 20191222, 20191225, 20191228, 20191229, 20200101, 20200104, 20200105, 20200111, 20200112]
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:88| diffDateTime including (nonWorkingDay): 04 18:44
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:140| Each EditedSSReport:SSReport [reportName=SIL006L_JINSSS_1503_20201415_123020.pdf, reportDate=15022021, reportTime=12:30, sssId=mes00004, sssStart=2019-12-23 15:40:40.516, sssComplete=2019-12-31 10:24:52.021, duration=04 18:44, category=New CCF Without Quotation, remarks=null, nonWorkingDays=3]
2020-01-13 09:33:59 DEBUG logger:ExportExcelReportServiceImpl.java:45| start and end : 2019-12-24 09:52:18.883 2019-12-31 10:24:56.521
2020-01-13 09:34:00 DEBUG logger:SSReportDaoImpl.java:174| List of Non Working Days: [20191221, 20191222, 20191225, 20191228, 20191229, 20200101, 20200104, 20200105, 20200111, 20200112]
2020-01-13 09:34:00 DEBUG logger:ExportExcelReportServiceImpl.java:88| diffDateTime including (nonWorkingDay): 04 00:32
2020-01-13 09:34:00 DEBUG logger:ExportExcelReportServiceImpl.java:140| Each EditedSSReport:SSReport [reportName=SIL006L_JINSSS_1503_20190715_134150.pdf, reportDate=15072019, reportTime=01:41, sssId=mes00004, sssStart=2019-12-24 09:52:18.883, sssComplete=2019-12-31 10:24:56.521, duration=04 00:32, category=Other error (Diff SP/MPN), remarks=null, nonWorkingDays=3]
2020-01-13 09:34:00 DEBUG logger:ExportExcelReportServiceImpl.java:45| start and end : 2019-12-23 15:26:52.202 2019-12-31 10:25:22.179
